Riders All Time in All Classes,Victories,2nd places,3rd places,Pole positions from '74 to 2022,Race fastest lap to 2022,World Championships
AEGERTER Dominique,1,1.0,5.0,1.0,1.0,
MCWILLIAMS Jeremy,1,1.0,4.0,3.0,,
NEWCOMBE Kim,1,1.0,4.0,,1.0,
ESPARGARO Aleix,1,1.0,3.0,3.0,1.0,
CALDARELLA Benedicto,1,1.0,2.0,,2.0,
TOBA Kaito,1,1.0,2.0,,1.0,
TANAKA Kenjiro,1,1.0,2.0,,,
CONFORTI Pier Luigi,1,1.0,2.0,,,
GUILLEUX Herve,1,1.0,2.0,,,
OETTL Philipp,1,1.0,1.0,1.0,2.0,
CRAFAR Simon,1,1.0,1.0,1.0,2.0,
AGOSTINI Duilio,1,1.0,1.0,,2.0,
CLUZEL Jules,1,1.0,1.0,,1.0,
TORRES Jordi,1,1.0,1.0,,1.0,
BRUINS Jan,1,1.0,1.0,,,
FÜGNER Horst,1,1.0,1.0,,,
TOMIZAWA Shoya,1,1.0,,2.0,,
GUEVARA Izan,1,1.0,,1.0,4.0,
NAGASHIMA Tetsuta,1,1.0,,1.0,2.0,
CHANTRA Somkiat,1,1.0,,,2.0,
LOI Livio,1,1.0,,,1.0,
NEWBOLD John,1,1.0,,,1.0,
CREITH R.,1,1.0,,,,
GOI Ivan,1,1.0,,,,
FILICE Jim,1,1.0,,,,
GUSTAFSSON Leif,1,1.0,,,,
COLNAGO Giuseppe,1,1.0,,,,
CASOLI Paolo,1,,4.0,1.0,,
BAYLISS Troy,1,,4.0,,,
RICCI Fausto,1,,4.0,,,
VAN DONGEN Cees,1,,4.0,,,
CELSO-SANTOS Adu,1,,2.0,,,
DANIELL Harold,1,2.0,,,,
ROBERTS Joe,1,1.0,3.0,1.0,,
TAIRA Tadahiko,1,1.0,2.0,1.0,,
LACONI Regis,1,1.0,1.0,,,
PIRRO Michele,1,1.0,1.0,,,
ARTIGAS Xavier,1,1.0,,2.0,,
KOBAYASHI Masaru,1,1.0,,1.0,,
MCCULLOUGH Ray,1,1.0,,1.0,,
ABRAHAM Karel,1,1.0,,1.0,,
NASH Godfrey,1,1.0,,1.0,,
HASEGAWA Horoshi,1,1.0,,1.0,,
EMMERICH Ingo,1,1.0,,,,
KAFKA Gerd,1,1.0,,,,
COPETA Angelo,1,1.0,,,,
JEFFERIES Tony,1,1.0,,,,
CARTER Alan,1,,,2.0,,
BALLERINI Andrea,1,,,1.0,,
STOELLINGER Edi,1,,,1.0,,
SALA Guido,1,,,1.0,,
MIYAZAKI Osamu,1,,,1.0,,
REITMAIER Fritz,1,,,1.0,,
ÖNCÜ Can,1,,,1.0,,
MUDFORD Ken,1,,,1.0,,
CZIHAK Edmund,1,,,1.0,,
BARRINGTON Manliefe,1,,,,,
IRELAND Dennis,1,,,,,
ROSSI Louis,1,,,,,
LEONI Guido,1,,,,,
FELGENHEIER Roland,1,,,,,
AUREAL Jean,1,,,,,
CARPENTER Phil,1,,,,,
